#{"t_start": 1684436456.7797196, "env_id": "arl-sokoban-turtle-v0"}
r,l,t,sol-length,crate,solver
-4.0,7,151.9834,0,5,0
5.0,12,152.060011,0,4,0
9.0,13,152.146843,0,2,0
6.0,10,152.20244,0,2,0
10.0,9,152.252337,0,2,0
8.0,13,152.306786,0,1,0
0.0,12,152.389901,0,0,0
0.0,10,152.434878,0,2,0
-5.0,10,152.489481,0,0,0
-5.0,13,152.596277,0,0,0
9.0,9,152.643829,0,2,0
5.0,6,152.670727,0,1,0
0.0,25,152.785845,0,0,0
5.0,10,152.84038,0,2,0
-4.0,8,152.879196,0,1,0
0.0,15,152.968932,0,1,0
6.0,9,153.02322,0,3,0
1.0,15,153.090603,0,3,0
-1.0,9,153.133089,0,1,0
-3.0,9,153.193415,0,1,0
1.0,14,153.299898,0,2,0
5.0,13,153.374308,0,2,0
